site,year,pixelline,pixelsample,pixloc,Onset_Greenness_Increase_1,Onset_Greenness_Maximum_1,Onset_Greenness_Decrease_1,Onset_Greenness_Minimum_1,Date_Mid_Greenup_Phase_1,Date_Mid_Senescence_Phase_1,Onset_Greenness_Increase_2,Onset_Greenness_Maximum_2,Onset_Greenness_Decrease_2,Onset_Greenness_Minimum_2,Date_Mid_Greenup_Phase_2,Date_Mid_Senescence_Phase_2
ABBY,2013,1016,1117,2679416,80,163,221,284,122,253,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2014,1016,1117,2679416,92,158,268,321,125,294,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2015,1016,1117,2679416,93,129,237,334,111,292,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2016,1016,1117,2679416,18,137,205,272,78,239,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2017,1016,1117,2679416,111,160,208,314,136,261,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2018,1016,1117,2679416,129,153,238,345,141,292,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2019,1016,1117,2679416,111,146,225,316,129,270,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2013,1016,1118,2681816,32,157,198,276,114,237,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2014,1016,1118,2681816,53,140,224,292,96,258,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2015,1016,1118,2681816,103,160,210,294,131,252,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2016,1016,1118,2681816,35,164,182,257,100,220,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2017,1016,1118,2681816,78,148,209,294,113,252,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2018,1016,1118,2681816,45,162,231,308,95,269,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2019,1016,1118,2681816,106,150,217,283,128,250,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2013,1017,1117,2679417,74,158,223,280,116,251,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2014,1017,1117,2679417,46,142,235,305,94,270,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2015,1017,1117,2679417,57,128,220,275,93,247,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2016,1017,1117,2679417,74,156,194,246,115,220,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2017,1017,1117,2679417,22,178,230,322,88,276,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2018,1017,1117,2679417,52,130,218,299,91,259,NaN,NaN,NaN,NaN,NaN,NaN
ABBY,2019,1017,1117,2679417,100,155,200,294,128,247,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2013,1790,1636,3925790,120,155,219,302,137,261,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2014,1790,1636,3925790,132,159,219,284,145,251,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2015,1790,1636,3925790,104,164,260,312,134,286,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2016,1790,1636,3925790,135,149,240,311,142,276,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2017,1790,1636,3925790,120,165,248,314,143,281,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2018,1790,1636,3925790,118,159,245,301,139,273,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2019,1790,1636,3925790,109,153,238,315,131,276,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2013,1790,1637,3928190,112,167,223,304,140,264,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2014,1790,1637,3928190,134,154,255,301,144,278,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2015,1790,1637,3928190,107,160,253,309,134,281,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2016,1790,1637,3928190,131,154,259,303,142,281,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2017,1790,1637,3928190,114,154,231,306,134,268,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2018,1790,1637,3928190,120,149,244,302,135,273,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2019,1790,1637,3928190,112,165,228,300,139,264,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2013,1791,1636,3925791,118,158,223,304,138,263,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2014,1791,1636,3925791,129,164,224,299,147,261,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2015,1791,1636,3925791,103,150,266,307,127,286,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2016,1791,1636,3925791,127,180,242,305,153,273,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2017,1791,1636,3925791,107,163,230,307,135,268,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2018,1791,1636,3925791,119,155,248,302,137,275,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2019,1791,1636,3925791,124,160,224,315,142,269,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2013,1791,1637,3928191,117,170,225,308,143,267,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2014,1791,1637,3928191,124,155,226,319,140,273,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2015,1791,1637,3928191,110,153,261,311,132,286,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2016,1791,1637,3928191,127,171,247,313,149,280,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2017,1791,1637,3928191,85,160,244,311,123,277,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2018,1791,1637,3928191,118,156,230,305,137,267,NaN,NaN,NaN,NaN,NaN,NaN
HARV,2019,1791,1637,3928191,126,158,248,306,142,277,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2013,2356,979,2349556,99,154,222,300,126,261,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2014,2356,979,2349556,78,167,224,317,122,270,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2015,2356,979,2349556,67,146,225,306,106,265,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2016,2356,979,2349556,83,156,218,288,120,253,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2017,2356,979,2349556,97,147,218,302,122,260,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2018,2356,979,2349556,92,143,194,286,117,240,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2019,2356,979,2349556,105,167,207,283,136,245,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2013,2356,980,2351956,108,146,220,293,127,257,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2014,2356,980,2351956,87,164,209,270,126,239,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2015,2356,980,2351956,87,136,218,310,112,264,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2016,2356,980,2351956,78,164,249,270,121,259,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2017,2356,980,2351956,91,150,228,272,120,250,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2018,2356,980,2351956,89,140,199,304,114,252,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2019,2356,980,2351956,119,164,227,305,142,266,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2013,2357,978,2347157,60,129,218,289,95,253,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2014,2357,978,2347157,69,165,214,291,117,253,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2015,2357,978,2347157,76,156,225,300,116,263,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2016,2357,978,2347157,72,146,214,300,109,257,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2017,2357,978,2347157,93,136,215,300,115,257,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2018,2357,978,2347157,85,140,193,312,112,252,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2019,2357,978,2347157,92,152,193,274,122,233,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2013,2357,979,2349557,99,146,229,292,123,260,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2014,2357,979,2349557,70,156,231,333,122,282,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2015,2357,979,2349557,22,167,201,283,95,242,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2016,2357,979,2349557,82,140,215,290,111,252,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2017,2357,979,2349557,99,147,231,309,123,270,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2018,2357,979,2349557,108,151,195,266,129,231,NaN,NaN,NaN,NaN,NaN,NaN
ONAQ,2019,2357,979,2349557,94,124,216,281,109,249,NaN,NaN,NaN,NaN,NaN,NaN
